ASHM,Ashmore Group,Financial Services
AURR,Aurora Russia,Financial Services
AVR,Avarae Global Coins,Financial Services
BLU,Blue Star Capital,Financial Services
BOU,Boustead,Financial Services
BPM,B.P. Marsh & Partners,Financial Services
BRH,Braveheart Investment Group,Financial Services
BRK,Brooks Macdonald Group,Financial Services
BRW,Brewin Dolphin Holdings,Financial Services
CAM,Camellia,Financial Services
CAY,Charles Stanley Group,Financial Services
CBG,Close Brothers Group,Financial Services
CCAP,Charlemagne Capital,Financial Services
CF.,Canaccord Genuity Group Inc,Financial Services
CIN,City of London Group,Financial Services
CLIG,City of London Investment Group,Financial Services
CLNR,Cluff Natural Resources,Financial Services
CMIP,Capital Management and Investment,Financial Services
CNKS,Cenkos Securities,Financial Services
CTR,Charles Taylor,Financial Services
DAN,Daniel Stewart Securities,Financial Services
DRG,Draganfly Investments,Financial Services
EMG,Man Group,Financial Services
FCRM,Fulcrum Utility Services,Financial Services
FEN,Frenkel Topping Group,Financial Services
FKE,Fiske,Financial Services
FPO,First Property Group,Financial Services
FRP,Fairpoint Group,Financial Services
GENL,Genel Energy,Financial Services
HAT,H&T Group,Financial Services
HGG,Henderson Group,Financial Services
HL.,Hargreaves Lansdown,Financial Services
HWC,Highway Capital,Financial Services
IAP,ICAP,Financial Services
ICP,Intermediate Capital Group,Financial Services
IFP,IFG Group,Financial Services
IGG,IG Group Holdings,Financial Services
IHUK,Impact Holdings (UK),Financial Services
III,3i Group,Financial Services
IMIC,International Mining & Infrastructure Corp,Financial Services
INVP,Investec,Financial Services
IPF,International Personal Finance,Financial Services
IPO,IP Group,Financial Services
IPX,Impax Asset Management,Financial Services
IRF,IRF European Finance Investments,Financial Services
IVO,Imperial Innovations Group,Financial Services
JIM,Jarvis Securities,Financial Services
JLF,Jelf Group,Financial Services
JUP,Jupiter Fund Management,Financial Services
LCG,London Capital Group Holdings,Financial Services
LDSG,Leeds Group,Financial Services
LEAF,Leaf Clean Energy Company,Financial Services
LEAL,Lead All Investments,Financial Services
LEG,Legendary Investments,Financial Services
LFI,London Finance & Investment Group,Financial Services
LGT,Lighthouse Group,Financial Services
LIO,Liontrust Asset Management,Financial Services
LIV,Livermore Investments Group,Financial Services
LSE,London Stock Exchange Group,Financial Services
MAC,Marechale Capital,Financial Services
MASA,Masawra,Financial Services
MFX,Manx Financial Group,Financial Services
MGR,Miton Group,Financial Services
MMP,Marwyn Management Partners,Financial Services
MTW,Mattioli Woods,Financial Services
NBNK,NBNK Investments,Financial Services
NOVA,Nova Resources,Financial Services
NUM,Numis Corporation,Financial Services
NWIG,Northwest Investment Group,Financial Services
OCL,Oakley Capital Investments,Financial Services
OPM,1pm,Financial Services
OPP,Origo Partners,Financial Services
PAG,Paragon Group of Companies (The),Financial Services
PCF,Private & Commercial Finance Group,Financial Services
PCGB,Power Capital Global,Financial Services
PEL,Paragon Entertainment,Financial Services
PFG,Provident Financial,Financial Services
PKG,Park Group,Financial Services
PMEA,PME African Infrastructure Opportunities,Financial Services
PMR,Panmure Gordon & Co,Financial Services
POL,Polo Resources Limited,Financial Services
POLR,Polar Capital Holdings,Financial Services
RAT,Rathbone Brothers,Financial Services
REC,Record,Financial Services
RECI,Real Estate Credit Investments,Financial Services
REDD,Redde,Financial Services
RLH,Red Leopard Holdings,Financial Services
SDR,Schroders,Financial Services
SDRC,Schroders Non-Vtg Shs,Financial Services
SGM,Sigma Capital Group,Financial Services
SGR,Shore Capital Group,Financial Services
SHRE,Share,Financial Services
SIGB,Sherborne Investors (Guernsey) B,Financial Services
SIHL,Symphony International Holdings,Financial Services
STM,STM Group,Financial Services
SUS,S & U,Financial Services
SVE,Starvest,Financial Services
SVI,SVG Capital,Financial Services
SWAP,MoneySwap,Financial Services
TAU,Tau Capital,Financial Services
TLPR,Tullett Prebon,Financial Services
TMT,TMT Investments,Financial Services
TRE,Trading Emissions,Financial Services
VLE,Volvere,Financial Services
VMP,Verdes Management,Financial Services
WCW,Walker Crips Group,Financial Services
WHI,W.H. Ireland Group,Financial Services
WSL,Worldsec,Financial Services
WST,Westside Acquisitions,Financial Services
WTS,World Trade Systems,Financial Services
ADT,AdEPT Telecom,Fixed Line Telecommunications
AN.,Alternative Networks,Fixed Line Telecommunications
BT.A,BT Group,Fixed Line Telecommunications
COLT,COLT Telecom Group SA,Fixed Line Telecommunications
CWC,Cable & Wireless Communications,Fixed Line Telecommunications
KCOM,KCOM Group,Fixed Line Telecommunications
PINN,Pinnacle Technology Group,Fixed Line Telecommunications
TALK,TalkTalk Telecom Group,Fixed Line Telecommunications
TEP,Telecom plus,Fixed Line Telecommunications
TRIC,Tricor,Fixed Line Telecommunications
BOK,Booker Group,Food & Drug Retailer
CLIN,Clinigen Group,Food & Drug Retailer
CRAW,Crawshaw Group,Food & Drug Retailer
CVR,Conviviality Retail,Food & Drug Retailer
GRG,Greggs,Food & Drug Retailer
MRW,Morrison (Wm) Supermarkets,Food & Drug Retailer
OCDO,Ocado Group,Food & Drug Retailer
SBRY,Sainsbury (J),Food & Drug Retailer
SNAK,SnackTime,Food & Drug Retailer
THT,Thorntons,Food & Drug Retailer
TOT,Total Produce,Food & Drug Retailer
TSCO,Tesco,Food & Drug Retailer
UDG,UDG Healthcare,Food & Drug Retailer
ABF,Associated British Foods,Food Producers
ACHL,Asian Citrus Holdings,Food Producers
AEP,Anglo-Eastern Plantations,Food Producers
AGTA,Agriterra,Food Producers
CWK,Cranswick,Food Producers
DCG,Dairy Crest Group,Food Producers
DKL,DekelOil Public,Food Producers
DVO,Devro,Food Producers
FFY,Fyffes,Food Producers
FIF,Finsbury Food Group,Food Producers
GLB,Glanbia,Food Producers
GNC,Greencore Group,Food Producers
HFG,Hilton Food Group,Food Producers
HID,Hidong Estate,Food Producers
KAKU,Kakuzi,Food Producers
KYGA,Kerry Group,Food Producers
MPE,M.P. Evans Group,Food Producers
OGN,Origin Enterprises,Food Producers
PAL,Equatorial Palm Oil,Food Producers
PFD,Premier Foods,Food Producers
PIL,Produce Investments,Food Producers
PURE,PureCircle,Food Producers
PXS,Provexis,Food Producers
RE.,R E A Holdings,Food Producers
RE.B,R.E.A.Holdings 9% Pref,Food Producers
RGD,Real Good Food Company (The),Food Producers
SORB,Sorbic International,Food Producers
TATE,Tate & Lyle,Food Producers
UKR,Ukrproduct Group,Food Producers
ULVR,Unilever,Food Producers
WALG,Walcom Group,Food Producers
WYN,Wynnstay Group,Food Producers
ZAM,Zambeef Products,Food Producers
CRPR,Cropper (James),Forestry & Paper
MNDI,Mondi,Forestry & Paper
POWR,Powerflute Oyj,Forestry & Paper
TREE,Cambium Global Timberland,Forestry & Paper
CNA,Centrica,Gas Water & Multiutilities
DVW,Dee Valley Group,Gas Water & Multiutilities
MWG,Modern Water,Gas Water & Multiutilities
NG.,National Grid,Gas Water & Multiutilities
PNN,Pennon Group,Gas Water & Multiutilities
SVT,Severn Trent,Gas Water & Multiutilities
UU.,United Utilities Group,Gas Water & Multiutilities
AFRK,Afarak Group,General Industrials
BPI,British Polythene Industries,General Industrials
CRU,Coral Products,General Industrials
MACF,Macfarlane Group,General Industrials
RBN,Robinson,General Industrials
REX,Rexam,General Industrials
RPC,RPC Group,General Industrials
SKG,Smurfit Kappa Group,General Industrials
SMDS,Smith (DS),General Industrials
SMIN,Smiths Group,General Industrials
SYM,Symphony Environmental Technologies,General Industrials
ACHP,Asia Ceramics Holdings,General Retailers
ALY,Ashley (Laura) Holdings,General Retailers
ASC,ASOS,General Retailers
BWNG,Brown (N) Group,General Retailers
CAMB,Cambria Automobiles,General Retailers
CFYN,Caffyns,General Retailers
CPR,Carpetright,General Retailers
CVSG,CVS Group,General Retailers
DEB,Debenhams,General Retailers
DNLM,Dunelm Group,General Retailers
DRTY,Darty,General Retailers
DTY,Dignity,General Retailers
ECV,Eco City Vehicles,General Retailers
FBDU,Flying Brands,General Retailers
FCCN,French Connection Group,General Retailers
FDL,Findel,General Retailers
HFD,Halfords Group,General Retailers
HOME,Home Retail Group,General Retailers
INCH,Inchcape,General Retailers
JD.,JD Sports Fashion,General Retailers
KGF,Kingfisher,General Retailers
LOOK,Lookers,General Retailers
LTG,Learning Technologies Group,General Retailers
MJW,Majestic Wine,General Retailers
MKS,Marks & Spencer Group,General Retailers
MOSB,Moss Bros Group,General Retailers
MTC,Mothercare,General Retailers
NTLG,New Trend Lifestyle Group,General Retailers
NXT,Next,General Retailers
PDG,Pendragon,General Retailers
SGI,Stanley Gibbons Group (The),General Retailers
SIG,Signet Jewelers,General Retailers
SMWH,WH Smith,General Retailers
SPD,Sports Direct International,General Retailers
SWJ,Swan (John) & Sons,General Retailers
TPT,Topps Tiles,General Retailers
UCG,United Carpets Group,General Retailers
VTU,Vertu Motors,General Retailers
AKR,Akers Biosciences Inc,Health Care Equipment & Services
AMS,Advanced Medical Solutions Group,Health Care Equipment & Services
AOR,AorTech International,Health Care Equipment & Services
AVCT,Avacta Group,Health Care Equipment & Services
BQE,Bioquell,Health Care Equipment & Services
CIRC,Circle Holdings,Health Care Equipment & Services
COG,Cambridge Cognition Holdings,Health Care Equipment & Services
CSRT,Consort Medical,Health Care Equipment & Services
CTAG,Cloudtag Inc,Health Care Equipment & Services
CTH,CareTech Holdings,Health Care Equipment & Services
DEMG,Deltex Medical Group,Health Care Equipment & Services
EKF,EKF Diagnostics Holdings,Health Care Equipment & Services
IDH,Immunodiagnostic Systems Holdings,Health Care Equipment & Services
IDM,Inditherm,Health Care Equipment & Services
LID,LiDCO Group,Health Care Equipment & Services
NMC,NMC Health,Health Care Equipment & Services
ODX,Omega Diagnostics Group,Health Care Equipment & Services
PURI,PuriCore,Health Care Equipment & Services
PYC,Physiomics,Health Care Equipment & Services
SDI,Scientific Digital Imaging,Health Care Equipment & Services
SN.,Smith & Nephew,Health Care Equipment & Services
SPHR,Sphere Medical Holding,Health Care Equipment & Services
SUN,Surgical Innovations Group,Health Care Equipment & Services
SYR,Synergy Health,Health Care Equipment & Services
TSTL,Tristel,Health Care Equipment & Services
VENN,Venn Life Sciences Holdings,Health Care Equipment & Services
ABBY,Abbey,Household Goods & Home Construction
AGA,AGA Rangemaster Group,Household Goods & Home Construction
AIEA,AIREA,Household Goods & Home Construction
BDEV,Barratt Developments,Household Goods & Home Construction
BKG,Berkeley Group Holdings (The),Household Goods & Home Construction
BVS,Bovis Homes Group,Household Goods & Home Construction
BWY,Bellway,Household Goods & Home Construction
CFX,Colefax Group,Household Goods & Home Construction
CHH,Churchill China,Household Goods & Home Construction
CRST,Crest Nicholson Holdings,Household Goods & Home Construction
GLE,Gleeson (M J) Group,Household Goods & Home Construction
HEAD,Headlam Group,Household Goods & Home Construction
HVE,Havelock Europa,Household Goods & Home Construction
IGR,International Greetings,Household Goods & Home Construction
JLH,John Lewis of Hungerford,Household Goods & Home Construction
MCB,McBride,Household Goods & Home Construction
PMP,Portmeirion Group,Household Goods & Home Construction
PSL,PhotonStar LED Group,Household Goods & Home Construction
PSN,Persimmon,Household Goods & Home Construction
RB.,Reckitt Benckiser Group,Household Goods & Home Construction
RDW,Redrow,Household Goods & Home Construction
SNCL,Sinclair (William) Holdings,Household Goods & Home Construction
TEF,Telford Homes,Household Goods & Home Construction
TW.,Taylor Wimpey,Household Goods & Home Construction
VCP,Victoria,Household Goods & Home Construction
WGB,Walker Greenbank,Household Goods & Home Construction
AFS,Amiad Water Systems,Industrial Engineering
ASBE,Associated British Engineering,Industrial Engineering
AVG,Avingtrans,Industrial Engineering
BLEY,Bailey (C H),Industrial Engineering
BMT,Braime (T F & J H) (Holdings),Industrial Engineering
BOY,Bodycote,Industrial Engineering
CAP,Clean Air Power,Industrial Engineering
CGS,Castings,Industrial Engineering
CMH,Chamberlin,Industrial Engineering
ETQ,Energy Technique,Industrial Engineering
FENR,Fenner,Industrial Engineering
GDWN,Goodwin,Industrial Engineering
HILS,Hill & Smith Holdings,Industrial Engineering
HYD,Hydro International,Industrial Engineering
IMI,IMI,Industrial Engineering
MLIN,Molins,Industrial Engineering
MRO,Melrose,Industrial Engineering
MSI,MS International,Industrial Engineering
NBI,Northbridge Industrial Services,Industrial Engineering
PRES,Pressure Technologies,Industrial Engineering
RNO,Renold,Industrial Engineering
ROR,Rotork,Industrial Engineering
SFR,Severfield,Industrial Engineering
SIXH,600 Group (The),Industrial Engineering
SLNG,Slingsby (H C),Industrial Engineering
SOM,Somero Enterprises Inc,Industrial Engineering
SPX,Spirax-Sarco Engineering,Industrial Engineering
TAN,Tanfield Group,Industrial Engineering
TCN,Tricorn Group,Industrial Engineering
TPS,Turbo Power Systems Inc,Industrial Engineering
TRI,Trifast,Industrial Engineering
TXH,Tex Holdings,Industrial Engineering
VSVS,Vesuvius,Industrial Engineering
VTC,Vitec Group (The),Industrial Engineering
WEIR,Weir Group,Industrial Engineering
FQM,First Quantum Minerals LD,Industrial Metals
FTE,Forte Energy NL,Industrial Metals
FXPO,Ferrexpo,Industrial Metals
IFL,International Ferro Metals,Industrial Metals
TSTR,Tri-Star Resources,Industrial Metals
URA,Uranium Resources,Industrial Metals
AVAP,Avation,Industrial Transportation
BBA,BBA Aviation,Industrial Transportation
BMS,Braemar Shipping Services,Industrial Transportation
CKN,Clarkson,Industrial Transportation
CLA,Capital Lease Aviation,Industrial Transportation
CTEK,China Chaintek United Co,Industrial Transportation
FRO,Frontline,Industrial Transportation
FSJ,Fisher (James) & Sons,Industrial Transportation
GPRT,Goldenport Holdings,Industrial Transportation
HCL,Hellenic Carriers,Industrial Transportation
INB,Interbulk Group,Industrial Transportation
NTBC,Noida Toll Bridge Co,Industrial Transportation
OCN,Ocean Wilson Holdings,Industrial Transportation
SPL,SKIL Ports & Logistics,Industrial Transportation
STOB,Stobart Group,Industrial Transportation
SUH,Sutton Harbour Holdings,Industrial Transportation
UKM,UK Mail Group,Industrial Transportation
WIN,Wincanton,Industrial Transportation
YUJ,Yujin International,Industrial Transportation
AV.,Aviva,Life Insurance
CSN,Chesnara,Life Insurance
HSD,Hansard Global,Life Insurance
LGEN,Legal & General Group,Life Insurance
OML,Old Mutual,Life Insurance
PHNX,Phoenix Group Holdings,Life Insurance
PRU,Prudential,Life Insurance
SFI,Sagicor Financial Corporation,Life Insurance
SL.,Standard Life,Life Insurance
STJ,St James's Place,Life Insurance
AVS,Avesco Group,Media
BJU,BrainJuicer Group,Media
BMY,Bloomsbury Publishing,Media
BOOM,Audioboom Group,Media
CAU,Centaur Media,Media
CHW,Chime Communications,Media
CLL,Cello Group,Media
CLTV,Cellcast,Media
CMX,Catalyst Media Group,Media
CRE,Creston,Media
DCD,DCD Media,Media
DMGT,Daily Mail and General Trust,Media
DODS,Dods Group,Media
DQE,DQ Entertainment,Media
EBQ,Ebiquity,Media
ELE,Electric Word,Media
ERM,Euromoney Institutional Investor,Media
ETO,Entertainment One Group,Media
FOUR,4imprint Group,Media
FUTR,Future,Media
GMC,Global Market Group,Media
HNT,Huntsworth,Media
HYNS,Haynes Publishing Group,Media
IME,Immedia Group,Media
INF,Informa,Media
INM,Independent News & Media,Media
ITE,ITE Group,Media
ITV,ITV,Media
JPR,Johnston Press,Media
MDZ,MediaZest,Media
MIRA,Mirada,Media
MONY,Moneysupermarket.com Group,Media
MSG,Milestone Group,Media
MTV,Motive Television,Media
MUBL,MBL Group,Media
NFC,Next Fifteen Communications Group,Media
NPT,NetPlay TV,Media
PAA,Parallel Media Group,Media
PACC,Prime Active Capital,Media
PHRM,Phorm Inc,Media
PRO,Progressive Digital Media Group,Media
PSON,Pearson,Media
PTCM,Porta Communications,Media
PWS,Pinewood Shepperton,Media
QRT,Quarto Group (The) Inc,Media
REL,Reed Elsevier,Media
RHM,Resource Holding Management,Media
RMV,Rightmove,Media
SAA,M&C Saatchi,Media
SAL,SpaceandPeople,Media
SPSM,Sports Stars Media,Media
STVG,STV Group,Media
TAL,Ten Alps,Media
TLY,Totally,Media
TMMG,Mission Marketing Group (The),Media
TNI,Trinity Mirror,Media
TRS,Tarsus,Media
UBM,UBM,Media
UTV,UTV Media,Media
VIS,Vitesse Media,Media
WGP,Worldlink Group (World Gaming ),Media
WIL,Wilmington Group,Media
WPP,WPP Group,Media
YOU,YouGov,Media
AAL,Anglo American,Mining
AAU,Ariana Resources,Mining
AAZ,Anglo Asian Mining,Mining
AFPO,African Potash Limited,Mining
AGQ,Arian Silver Corporation,Mining
ALBA,Alba Mineral Resources,Mining
AMC,Amur Minerals Corporation,Mining
ANR,Altona Energy,Mining
ANTO,Antofagasta,Mining
APF,Anglo Pacific Group,Mining
AQP,Aquarius Platinum,Mining
ATC,Atlantic Coal,Mining
AUE,Aureus Mining,Mining
AUR,Aurum Mining,Mining
AVM,Avocet Mining,Mining
AXM,Alexander Mining,Mining
AYM,Anglesey Mining,Mining
BEM,Beowulf Mining,Mining
BISI,Bisichi Mining,Mining
BKY,Berkeley Resources,Mining
BLT,BHP Billiton,Mining
BMN,Bushveld Minerals,Mining
BOD,Botswana Diamonds,Mining
BZM,Bellzone Mining,Mining
BZT,Bezant Resources,Mining
CAF,China Africa Resources,Mining
CAML,Central Asia Metals,Mining
CDC,Copper Development Corporation,Mining
CEY,Centamin,Mining
CGH,Chaarat Gold Holdings,Mining
CGNR,Conroy Gold And Natural Resources,Mining
CHL,Churchill Mining,Mining
CMCL,Caledonia Mining Corp,Mining
CNR,Condor Resources,Mining
CON,Connemara Mining Company,Mining
CRND,Central Rand Gold,Mining
CZA,Coal of Africa,Mining
DCP,Diamondcorp,Mining
ECR,ECR Minerals,Mining
EDL,Edenville Energy,Mining
EMED,EMED Mining Public,Mining
EUA,Eurasia Mining,Mining
FCR,Ferrum Crescent,Mining
FDI,Firestone Diamonds,Mining
FOX,Fox Marble Holdings,Mining
FRES,Fresnillo,Mining
GAL,Galantas Gold Corporation,Mining
GCM,GCM Resources,Mining
GDP,Goldplat,Mining
GEM,Gemfields,Mining
GEMD,Gem Diamonds,Mining
GFM,Griffin Mining,Mining
GGP,Greatland Gold,Mining
GLR,Galileo Resources,Mining
GRL,GoldStone Resources,Mining
HER,Herencia Resources,Mining
HGM,Highland Gold Mining,Mining
HOC,Hochschild Mining,Mining
HUM,Hummingbird Resources,Mining
HZM,Horizonte Minerals,Mining
JLP,Jubilee Platinum,Mining
KAZ,Kaz Minerals,Mining
KDR,Karelian Diamond Resources,Mining
KEFI,KEFI Minerals,Mining
KGI,Kirkland Lake Gold Inc,Mining
KGLD,Kolar Gold,Mining
KIBO,Kibo Mining,Mining
KLG,Kalimantan Gold Corporation,Mining
KMR,Kenmare Resources,Mining
LMI,Lonmin,Mining
LND,Landore Resources,Mining
MARL,Mariana Resources,Mining
MIO,Minco,Mining
MIRL,Minera IRL,Mining
MNC,Metminco,Mining
MTL,Metals Exploration,Mining
MWA,Mwana Africa,Mining
NBR,Namibian Resources,Mining
NCCL,Ncondezi Coal,Mining
NMG,Noricum Gold,Mining
NRRP,North River Resources,Mining
NWR,New World Resources,Mining
NYO,Nyota Minerals,Mining
OBT,Obtala Resources,Mining
OMI,Orosur Mining Inc,Mining
ORCP,Oracle Coalfields,Mining
ORM,Ormonde Mining,Mining
OSU,Orsu Metals Corporation,Mining
OTC,Ortac Resources,Mining
OVG,Ovoca Gold,Mining
OXS,Oxus Gold,Mining
PAF,Pan African Resources,Mining
PDL,Petra Diamonds,Mining
PFP,Pathfinder Minerals,Mining
PGD,Patagonia Gold,Mining
PGL,Peninsular Gold,Mining
POG,Petropavlovsk,Mining
POLY,Polymetal International,Mining
PREM,Premier African Minerals,Mining
PRG,Paragon Diamonds,Mining
REM,Rare Earth Minerals,Mining
RGM,Regency Mines,Mining
RIO,Rio Tinto,Mining
RLD,Richland Resources,Mining
RMM,Rambler Metals and Mining,Mining
RRR,Red Rock Resources,Mining
RRS,Randgold Resources,Mining
SAV,Savannah Resources,Mining
SBLM,Sable Mining,Mining
SGZ,Scotgold Resources,Mining
SHG,Shanta Gold,Mining
SLP,Sylvania Platinum,Mining
SMA,Sovereign Mines of Africa,Mining
SOLG,SolGold,Mining
SRB,Serabi Mining,Mining
SRES,Sunrise Resources,Mining
SRX,Sierra Rutile,Mining
STEL,Stellar Diamonds,Mining
STGR,StratMin Global Resources,Mining
STI,Stratex International,Mining
SULA,Sula Iron & Gold,Mining
SXX,Sirius Minerals,Mining
TGL,Touchstone Gold Limited,Mining
THR,Thor Mining,Mining
TSG,Trans-Siberian Gold,Mining
TYM,Tertiary Minerals,Mining
UEP,UMC Energy,Mining
VED,Vedanta Resources,Mining
WAFM,West African Minerals Corporation,Mining
WLFE,Wolf Minerals Limited,Mining
WSBN,Wishbone Gold,Mining
WTI,Weatherly International,Mining
ZOX,ZincOx Resources,Mining
AVN,Avanti Communications Group,Mobile Telecommunications
ISAT,Inmarsat,Mobile Telecommunications
MBT,Mobile Tornado Group,Mobile Telecommunications
MES,Messaging International,Mobile Telecommunications
MONI,Monitise,Mobile Telecommunications
MOS,Mobile Streams,Mobile Telecommunications
VOD,Vodafone Group,Mobile Telecommunications
ADM,Admiral Group,Nonlife Insurance
AML,Amlin,Nonlife Insurance
BEZ,Beazley,Nonlife Insurance
DLG,Direct Line Insurance Group,Nonlife Insurance
ELLA,Ecclesiastical Insurance Office,Nonlife Insurance
ESUR,esure Group,Nonlife Insurance
FBH,FBD Holdings,Nonlife Insurance
GAH,Gable Holdings Inc,Nonlife Insurance
HSX,Hiscox,Nonlife Insurance
HUW,Helios Underwriting,Nonlife Insurance
JLT,Jardine Lloyd Thompson Group,Nonlife Insurance
LRE,Lancashire Holdings,Nonlife Insurance
NVA,Novae Group,Nonlife Insurance
PGH,Personal Group Holdings,Nonlife Insurance
RQIH,Randall & Quilter Investment Holdings,Nonlife Insurance
RSA,RSA Insurance Group,Nonlife Insurance
